Food,Group,Subgroup
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Flavored milks (chocolate, cocoa), NFS",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk in coffee drinks, lattes, etc.",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Skim milk in coffee drinks, lattes, etc.",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk shakes, malted milk drinks, fruit- milk drinks/smoothies, fat-free",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk shakes, malted milk drinks, fruit- milk drinks/smoothies, NFS",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
Meal supplements/replacements/diet,Dairy,Milk
drinks,Dairy,Milk
"Milk, dry, nonfat, instant, added vitamin A and D",Dairy,Milk
"Milk powder drinks, eggnog, other bev.",Dairy,Milk
"Milk, dry, nonfat, instant, added vitamin A and D",Dairy,Milk
Milk in soups,Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk in casseroles, lllmixturesbatters,",Dairy,Milk
"frozen meals, man & other dishes",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
Milk in scrambled eggs/omelets,Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk in mashed potatoes, creamed veg.,",Dairy,Milk
"sauces, gravies, salad dressings",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Milk in puddings custards, desserts, sweetened condensed milk",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
Milk in candies and lllbarsllland cookies,Dairy,Milk
"Milk, dry, nonfat, instant, added vitamin A and D",Dairy,Milk
"Milk in bread, baked products, cereals",Dairy,Milk
"Milk, nonfat, fluid, added vitamin A and D",Dairy,Milk
"Ice cream, light and fat-free",Dairy,Milk
"Ice creams, vanilla, fat-free",Dairy,Milk
"Ice cream, regular and rich",Dairy,Milk
"Ice creams, vanilla, fat-free",Dairy,Milk
"Ice cream sundaes, cones,",Dairy,Milk
"sticks/bars/novelties, light and lowfat",Dairy,Milk
"Ice creams, vanilla, fat-free",Dairy,Milk
"Ice cream sundaes, cones, sticks/bars/novelties, regular, rich, NFS",Dairy,Milk
"Frozen yogurt and sherbet, regular,",Dairy,Yogurt
"lowfat, fat-free, and NFS",Dairy,Yogurt
"Frozen yogurts, choc, nonfat milk, sweetened w/o sugar",Dairy,Yogurt
"Unflavored Yogurts, whole and NFS",Dairy,Yogurt
"Yogurt, plain, skim milk, 13 grams protein per 8 oz",Dairy,Yogurt
"Unflavored Yogurts, lowfat",Dairy,Yogurt
"Yogurt, plain, skim milk, 13 grams protein per 8 oz",Dairy,Yogurt
"Unflavored Yogurts, fat-free",Dairy,Yogurt
"Yogurt, plain, skim milk, 13 grams protein per 8 oz",Dairy,Yogurt
"Flavored Yogurts (caloric sweeteners),",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
"Flavored Yogurts (caloric sweeteners),",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
"Flavored Yogurts (caloric sweeteners),",Dairy,Yogurt
NFS,Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Flavored Yogurts (low calorie,Dairy,Yogurt
"sweeteners), fat-free",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Flavored Yogurts (low calorie,Dairy,Yogurt
"sweeteners), lowfat",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Fruit Yogurts (caloric sweeteners),Dairy,Yogurt
"incl.yogurt NS, whole",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Fruit Yogurts (caloric sweeteners),Dairy,Yogurt
"incl.yogurt NS, lowfat",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Fruit Yogurts (caloric sweeteners),Dairy,Yogurt
"incl.yogurt NS, fat-free",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Fruit Yogurts (caloric sweeteners),Dairy,Yogurt
"incl.yogurt NS, fat NFS",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
"Fruit Yogurts (low calorie sweeteners),",Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Yogurt in other foods,Dairy,Yogurt
"Yogurt, vanilla or lemon, nonfat milk, low calorie",Dairy,Yogurt
"sweetener, fortified with vitamin D",Dairy,Yogurt
Natural cheeses (incl low sodium,Dairy,Cheese
"cheeses), regular",Dairy,Cheese
"Cheese, mozzarella, nonfat or fat free",Dairy,Cheese
Natural cheeses (incl low sodium,Dairy,Cheese
"cheeses), reduced-fat",Dairy,Cheese
"Cheese, mozzarella, nonfat or fat free",Dairy,Cheese
Natural cheeses (incl low sodium,Dairy,Cheese
"cheeses), lowfat and fat-free",Dairy,Cheese
"Cheese, mozzarella, nonfat or fat free",Dairy,Cheese
Natural cheeses (incl low sodium,Dairy,Cheese
"cheeses), fat NFS",Dairy,Cheese
"Cheese, mozzarella, nonfat or fat free",Dairy,Cheese
"Cottage cheeses, regular",Dairy,Cheese
"Cheese, cottage, lowfat, (1% milkfat) no sodium added",Dairy,Cheese
"Cottage cheeses, lowfat and fat NFS",Dairy,Cheese
"Cheese, cottage, lowfat, (1% milkfat) no sodium added",Dairy,Cheese
"Processed cheeses (incl low sodium cheeses), regular",Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
Processed cheeses (incl low sodium,Dairy,Cheese
"cheeses), reduced-fat",Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
Processed cheeses (incl low sodium,Dairy,Cheese
"cheeses), lowfat and fat-free",Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
"Cheese spreads, dips, sauces, soups",Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
Cheese on sandwiches,Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
"Cheese in grains products, snacks (incl",Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
Cheese in grains products (incl fried,Dairy,Cheese
"cheese, gnocchi), desserts/sweets, reduced fat, lowfat, nonfat",Dairy,Cheese
"Cheese, mozzarella, nonfat or fat free",Dairy,Cheese
Cheese in Mexican dishes,Dairy,Cheese
"Cheese, Mexican, blend, reduced fat",Dairy,Cheese
Cheese in egg or meat dishes and frozen,Dairy,Cheese
"Cheese, Mexican, blend, reduced fat",Dairy,Cheese
"Cheese on pizza and calzone, regular",Dairy,Cheese
"cheese, mozzarella, nonfat or fat free",Dairy,Cheese
"Cheese on pizza and calzone, reduced- fat and lowfat",Dairy,Cheese
"cheese, mozzarella, nonfat or fat free",Dairy,Cheese
"Cheese in pasta and Italian dishes,",Dairy,Cheese
regular and NFS,Dairy,Cheese
"Cheese, Mexican, blend, reduced fat",Dairy,Cheese
"Cheese in pasta and Italian dishes,",Dairy,Cheese
"reduced fat, lowfat, and nonfat",Dairy,Cheese
"Cheese, Mexican, blend, reduced fat",Dairy,Cheese
"Cheese on vegetables (cheese sauce), in",Dairy,Cheese
salads & dressings,Dairy,Cheese
"Cheese, pasturized processed, American, lowfat",Dairy,Cheese
Cheese NFS,Dairy,Cheese
"Cheese, Mexican, blend, reduced fat",Dairy,Cheese
Soymilk,Dairy,Soymilk
"Soymilk (all flavors), unsweetened, added calcium, vitamins A and D",Dairy,Soymilk
Eggs,Protein Foods,Eggs
"Egg, whole, cooked, hard-boiled",Protein Foods,Eggs
Anchovy,Protein Foods,High Omega-3 Fish
"Anchovy, European, canned in oil, drained",Protein Foods,High Omega-3 Fish
Herring,Protein Foods,High Omega-3 Fish
"Herring, Atlantic, cooked, dry heat",Protein Foods,High Omega-3 Fish
Mackerel,Protein Foods,High Omega-3 Fish
"Mackerel, Atlantic, cooked, dry heat",Protein Foods,High Omega-3 Fish
Salmon,Protein Foods,High Omega-3 Fish
"Fish, salmon, Atlantic, farmed, cooked, dry heat",Protein Foods,High Omega-3 Fish
Sardines,Protein Foods,High Omega-3 Fish
"Sardine, Atlantic, canned in oil, drained with bone",Protein Foods,High Omega-3 Fish
Sea bass,Protein Foods,High Omega-3 Fish
"Sea bass, mixed species, cooked, dry heat",Protein Foods,High Omega-3 Fish
Swordfish,Protein Foods,High Omega-3 Fish
"Swordfish, cooked, dry heat",Protein Foods,High Omega-3 Fish
Trout,Protein Foods,High Omega-3 Fish
"Trout, rainbow, farmed, cooked, dry heat",Protein Foods,High Omega-3 Fish
Roe,Protein Foods,High Omega-3 Fish
"Roe, mixed species, cooked dry heat",Protein Foods,High Omega-3 Fish
Mussels,Protein Foods,High Omega-3 Fish
"Mussel, blue, cooked, moist heat",Protein Foods,High Omega-3 Fish
Tuna-high Omega 3,Protein Foods,High Omega-3 Fish
"Tuna, white, canned in water, drained solids",Protein Foods,High Omega-3 Fish
Shark,Protein Foods,High Omega-3 Fish
"Shark, mixed species, raw",Protein Foods,High Omega-3 Fish
Smelt,Protein Foods,High Omega-3 Fish
"Smelt, rainbow, cooked, dry heat",Protein Foods,High Omega-3 Fish
Shrimp,Protein Foods,Low Omega-3 Fish
"Shrimp, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Unknown Fish,Protein Foods,Low Omega-3 Fish
"Fish, pollock, Atlantic, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Fish sticks,Protein Foods,Low Omega-3 Fish
"Fish, pollock, Atlantic, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Restructured fish,Protein Foods,Low Omega-3 Fish
"Fish, pollock, Atlantic, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Carp,Protein Foods,Low Omega-3 Fish
"Carp, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Catfish,Protein Foods,Low Omega-3 Fish
"Catfish, channel, farmed, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Cod,Protein Foods,Low Omega-3 Fish
"Cod, Pacific, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Croaker,Protein Foods,Low Omega-3 Fish
"Croaker, Atlantic, raw",Protein Foods,Low Omega-3 Fish
Tilapia,Protein Foods,Low Omega-3 Fish
"Tilapia, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Flounder,Protein Foods,Low Omega-3 Fish
"Flatfish (flounder and sole), cooked, dry heat",Protein Foods,Low Omega-3 Fish
Haddock,Protein Foods,Low Omega-3 Fish
"Haddock, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Mullet,Protein Foods,Low Omega-3 Fish
"Mullet, striped, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Perch,Protein Foods,Low Omega-3 Fish
"Ocean perch, Atlantic, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Pike,Protein Foods,Low Omega-3 Fish
"Pike, northern, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Pompano*,Protein Foods,Low Omega-3 Fish
"Pompano, Florida, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Porgy,Protein Foods,Low Omega-3 Fish
"sheepshead, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Tuna-low 0mega3,Protein Foods,Low Omega-3 Fish
"Tuna, light, canned in water, drained solids",Protein Foods,Low Omega-3 Fish
Whiting,Protein Foods,Low Omega-3 Fish
"Fish, whiting, mixed species, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Frog,Protein Foods,Low Omega-3 Fish
"Frog legs, raw",Protein Foods,Low Omega-3 Fish
Octopus/squid,Protein Foods,Low Omega-3 Fish
"Octopus, common, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Clams,Protein Foods,Low Omega-3 Fish
"Clams, mixed species, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Crab,Protein Foods,Low Omega-3 Fish
"Crab, blue, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Lobster,Protein Foods,Low Omega-3 Fish
"Lobster, northern, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Oysters,Protein Foods,Low Omega-3 Fish
"Mollusks, oyster, Pacific, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Scallops,Protein Foods,Low Omega-3 Fish
"Scallops (bay and sea), cooked, steamed",Protein Foods,Low Omega-3 Fish
Snapper,Protein Foods,Low Omega-3 Fish
"Snapper, mixed species, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Halibut,Protein Foods,Low Omega-3 Fish
"Halibut, Atlantic and Pacific, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Eel,Protein Foods,Low Omega-3 Fish
"Eel, mixed species, cooked, dry heat",Protein Foods,Low Omega-3 Fish
Turtle/terrapin,Protein Foods,Low Omega-3 Fish
"Turtle, green, raw",Protein Foods,Low Omega-3 Fish
Crayfish,Protein Foods,Low Omega-3 Fish
"Crayfish, mixed species, wild, cooked, moist heat",Protein Foods,Low Omega-3 Fish
Snails,Protein Foods,Low Omega-3 Fish
"Snail, raw",Protein Foods,Low Omega-3 Fish
Turbot,Protein Foods,Low Omega-3 Fish
"Flatfish (flounder and sole), cooked, dry heat",Protein Foods,Low Omega-3 Fish
"Almonds, dry roasted, without salt",Protein Foods,Nuts and Seeds
Brazil nuts,Protein Foods,Nuts and Seeds
"Brazilnuts, dried, unblanched",Protein Foods,Nuts and Seeds
Cashew nuts,Protein Foods,Nuts and Seeds
"Cashew nuts, dry roasted, without salt",Protein Foods,Nuts and Seeds
Chestnuts,Protein Foods,Nuts and Seeds
"Chestnuts, European, roasted",Protein Foods,Nuts and Seeds
Filberts/hazelnuts,Protein Foods,Nuts and Seeds
Hazelnuts or filberts,Protein Foods,Nuts and Seeds
Flax seeds,Protein Foods,Nuts and Seeds
Flaxseed,Protein Foods,Nuts and Seeds
Macadamia nuts,Protein Foods,Nuts and Seeds
"Macadamia nuts, dry roasted, without salt",Protein Foods,Nuts and Seeds
Mixed nuts,Protein Foods,Nuts and Seeds
"Mixed nuts, dry roasted, with peanuts, without salt",Protein Foods,Nuts and Seeds
Peanut butter,Protein Foods,Nuts and Seeds
"Peanut butter, smooth style, with salt",Protein Foods,Nuts and Seeds
Peanuts,Protein Foods,Nuts and Seeds
"Peanuts, all types, dry-roasted, without salt",Protein Foods,Nuts and Seeds
Pecans,Protein Foods,Nuts and Seeds
Pecans,Protein Foods,Nuts and Seeds
Pine nuts,Protein Foods,Nuts and Seeds
"Pine nuts, dried",Protein Foods,Nuts and Seeds
Pistachio nuts,Protein Foods,Nuts and Seeds
"Pistachio nuts, dry roasted, without salt",Protein Foods,Nuts and Seeds
Pumpkin/squash seed kernels,Protein Foods,Nuts and Seeds
"Pumpkin and squash seed kernels,roasted, without salt",Protein Foods,Nuts and Seeds
Sesame seeds,Protein Foods,Nuts and Seeds
"Sesame seed kernels, toasted, without salt (decorticated)",Protein Foods,Nuts and Seeds
Sunflower seeds,Protein Foods,Nuts and Seeds
"Sunflower seed kernels, dry roasted, without salt",Protein Foods,Nuts and Seeds
Walnuts,Protein Foods,Nuts and Seeds
"Walnuts, English",Protein Foods,Nuts and Seeds
"Chicken roll, light meat",Protein Foods,Poultry
Chicken,Protein Foods,Poultry
"Chicken, meat only, roasted",Protein Foods,Poultry
Turkey,Protein Foods,Poultry
"Turkey, meat only, roasted",Protein Foods,Poultry
Beef,Protein Foods,Red Meats
"Beef, round, eye of round, separable lean only, roasted",Protein Foods,Red Meats
"Beef, ground",Protein Foods,Red Meats
"Ground beef, 95% lean, patty, pan-broiled",Protein Foods,Red Meats
Game meat,Protein Foods,Red Meats
"Deer, loin, lean only, steak, brld",Protein Foods,Red Meats
Lamb,Protein Foods,Red Meats
"Lamb, domestic, leg, separable lean only, choice, roasted",Protein Foods,Red Meats
Liver,Protein Foods,Red Meats
"Beef, liver, pan-fried",Protein Foods,Red Meats
"Luncheon meats, beef",Protein Foods,Red Meats
"Frankfurter, beef, low fat",Protein Foods,Red Meats
"Luncheon meats, pork",Protein Foods,Red Meats
"Ham, sliced, extra lean",Protein Foods,Red Meats
"Pork, cured",Protein Foods,Red Meats
"Pork, cured, ham, whole, separable lean only, roasted",Protein Foods,Red Meats
"Pork, fresh",Protein Foods,Red Meats
"Pork, fresh, sirloin chops, boneless, lean, broiled",Protein Foods,Red Meats
Sausage,Protein Foods,Red Meats
"Turkey sausage, reduced fat, brown and serve, cooked",Protein Foods,Red Meats
Tofu,Protein Foods,Processed Soy Products
"Tofu, firm, prepared with calcium sulfate and magnesium",Protein Foods,Processed Soy Products
Processed Soy,Protein Foods,Processed Soy Products
Soy protein isolate,Protein Foods,Processed Soy Products
Unhydrogenated soy oil 53%,Oils and Solid Fats,Oils
Canola oil 22%,Oils and Solid Fats,Oils
Olive oil 4%,Oils and Solid Fats,Oils
Corn oil 10%,Oils and Solid Fats,Oils
Sunflower oil 3%,Oils and Solid Fats,Oils
Cottonseed oil 4%,Oils and Solid Fats,Oils
Peanut oil 1%,Oils and Solid Fats,Oils
Safflower oil 0%,Oils and Solid Fats,Oils
Margarine (1/2 total) 3%,Oils and Solid Fats,Oils
"Oil, soybean, salad or cooking",Oils and Solid Fats,Oils
"Oil, canola",Oils and Solid Fats,Oils
"Oil, olive, salad or cooking",Oils and Solid Fats,Oils
"Oil, corn, industrial and retail, all purpose salad or cooking",Oils and Solid Fats,Oils
"Oil, sunflower, linoleic (approx. 65%) Oil, cottonseed, salad or cooking",Oils and Solid Fats,Oils
"Oil, peanut, salad or cooking",Oils and Solid Fats,Oils
"Oil, safflower, salad or cooking, linoleic (over 70%) Margarine-like, veg. oil spread,",Oils and Solid Fats,Oils
Palm oil,Oils and Solid Fats,Solid Fats
Palm Kernel oil Coconut oil,Oils and Solid Fats,Solid Fats
Dairy fat (incl. butter) Pork fat (incl. lard) Vegetable shortening Beef fat (incl. tallow) Hydrogentated soy oil,Oils and Solid Fats,Solid Fats
Palm oil,Oils and Solid Fats,Solid Fats
"Palm kernel oil Coconut oil Butter, salted Lard",Oils and Solid Fats,Solid Fats
"Vegetable shortening,household,composite Beef fat (tallow)",Oils and Solid Fats,Solid Fats
"Soybean oil, partially hydrogenated",Oils and Solid Fats,Solid Fats
Margarine (1/2 total) 3%,Oils and Solid Fats,Solid Fats
